"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20230430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202304","4","40,000","22","2022","대명로14길 60","","중개거래","대구 수성구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.9194","202304","9","53,000","10","2022","대명로14길 60","","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202304","13","49,500","5","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","114.7188","202304","29","58,000","1","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.6","202207","9","40,800","12","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.94","202208","23","39,300","13","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","1128","1128","0000","대명헤리티지","84.94","202208","31","41,000","16","2022","대명역2길 104","","직거래","-"
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","202206","7","28,000","10","1979","대명로 177","","중개거래","대구 남구"
"대구광역시 남구 대명동","3008-4","3008","0004","동아","52.515","202302","15","14,450","1","1980","현충로31길 48","","중개거래","대구 남구"
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","202208","2","22,000","12","1992","현충서길 29","","중개거래","대구 남구"
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","202303","2","16,600","12","1992","현충서길 29","","중개거래","대구 남구"
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","169.9","202207","14","39,950","13","1988","중앙대로31길 28","","중개거래","대구 남구"
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","169.9","202207","19","38,850","10","1988","중앙대로31길 28","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202205","13","18,500","6","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202205","25","28,000","3","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202208","8","18,000","3","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202304","12","17,300","6","1998","큰골길 200","","중개거래","대구 남구"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202304","20","18,000","3","1998","큰골길 200","","직거래","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202304","24","19,800","1","1998","큰골길 200","","중개거래","대구 북구"
"대구광역시 남구 대명동","3044-8","3044","0008","비취맨션","79.8275","202209","2","22,000","2","1983","두류공원로 88","","중개거래","대구 남구"
"대구광역시 남구 대명동","1662-30","1662","0030","사랑채(1662-30)","84.98","202302","21","24,000","2","2007","현충로23길 88","","직거래","-"
"대구광역시 남구 대명동","1662-30","1662","0030","사랑채(1662-30)","84.98","202302","27","22,900","4","2007","현충로23길 88","","중개거래","대구 남구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202206","7","10,000","1","1980","대명서로 17","","중개거래","대구 남구"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202301","6","10,000","3","1980","대명서로 17","","직거래","-"
