,시군구+도로명,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),건축년도,계약년월일,경도,위도,역세권,의원수,요양병원유무,경찰서유무,학교수,버스정류장수,세대수,주차대수,욕실수,방수,최고층,건설사,시군구,매매물가지수
1246,대구광역시 달서구 상화로7길 31,진천대동,59.78,202106,10,"18,350",2000.0,20210610,128.520330741,35.809738622,1,10,0,1,0,13,129.0,133.0,1.0,3.0,14.0,0,달서구,100.0
1247,대구광역시 달서구 상화로7길 31,진천대동,85.0,202210,30,"16,635",2000.0,20221030,128.520330741,35.809738622,1,10,0,1,0,13,129.0,133.0,2.0,3.0,14.0,0,달서구,90.316
1248,대구광역시 달서구 상화북로5길 39,현대(262-2),65.52,202301,21,"16,000",1993.0,20230121,128.527532113,35.812259076,1,41,1,1,0,9,183.0,119.0,1.0,3.0,15.0,1,달서구,82.874
1249,대구광역시 달서구 상화북로5길 39,현대(262-2),84.82,202304,14,"19,000",1993.0,20230414,128.527532113,35.812259076,1,41,1,1,0,9,183.0,119.0,2.0,3.0,15.0,1,달서구,77.727
1250,대구광역시 달서구 월배로 117-2,진천드림캐슬,84.67,202112,24,"24,700",2018.0,20211224,128.526970988,35.815313405,2,58,1,1,0,10,16.0,16.0,2.0,3.0,10.0,0,달서구,100.245
1251,대구광역시 달서구 월배로 124-12,월배제니스,82.4286,202203,10,"33,000",2018.0,20220310,128.527639181,35.814470541,2,59,1,1,0,9,18.0,18.0,2.0,3.0,9.0,0,달서구,97.846
1252,대구광역시 달서구 월배로 132,대금로얄,104.35,201809,12,"24,000",2003.0,20180912,128.528672337,35.814995763,2,63,1,1,0,11,70.0,74.0,2.0,3.0,12.0,0,달서구,82.838
1253,대구광역시 달서구 월배로 132,대금로얄,79.78,202008,14,"17,000",2003.0,20200814,128.528672337,35.814995763,2,63,1,1,0,11,70.0,74.0,2.0,3.0,12.0,0,달서구,85.905
1254,대구광역시 달서구 월배로 132,대금로얄,82.57,201901,8,"18,000",2003.0,20190108,128.528672337,35.814995763,2,63,1,1,0,11,70.0,74.0,2.0,3.0,12.0,0,달서구,83.513
1255,대구광역시 달서구 월배로 132,대금로얄,83.89,202010,25,"22,200",2003.0,20201025,128.528672337,35.814995763,2,63,1,1,0,11,70.0,74.0,2.0,3.0,12.0,0,달서구,87.823
1256,대구광역시 달서구 월배로 132,대금로얄,84.57,202008,28,"22,000",2003.0,20200828,128.528672337,35.814995763,2,63,1,1,0,11,70.0,74.0,2.0,3.0,12.0,0,달서구,85.905
1257,대구광역시 달서구 월배로 30,달맞이맨션,59.96,202109,16,"12,860",1992.0,20210916,128.5184189,35.811971558,1,21,0,1,0,14,103.0,75.0,1.0,3.0,12.0,0,달서구,100.645
1258,대구광역시 달서구 월배로 30,달맞이맨션,75.26,202012,2,"17,150",1992.0,20201202,128.5184189,35.811971558,1,21,0,1,0,14,103.0,75.0,1.0,3.0,12.0,0,달서구,92.501
1259,대구광역시 달서구 월배로 30,달맞이맨션,84.77,202011,29,"18,000",1992.0,20201129,128.5184189,35.811971558,1,21,0,1,0,14,103.0,75.0,2.0,3.0,12.0,0,달서구,89.372
1260,대구광역시 달서구 월배로 30,달맞이맨션,84.94,202001,8,"19,600",1992.0,20200108,128.5184189,35.811971558,1,21,0,1,0,14,103.0,75.0,2.0,3.0,12.0,0,달서구,84.092
1261,대구광역시 달서구 월배로 71,트윈팰리스,84.09,202107,10,"46,000",2006.0,20210710,128.52212697,35.814260863,1,56,1,1,0,11,192.0,209.0,2.0,3.0,25.0,0,달서구,100.364
1262,대구광역시 달서구 월배로 71,트윈팰리스,84.15,202301,3,"27,300",2006.0,20230103,128.52212697,35.814260863,1,56,1,1,0,11,192.0,209.0,2.0,3.0,25.0,0,달서구,82.874
1263,대구광역시 달서구 월배로 80,진천역대성스카이렉스,107.3136,202105,4,"63,000",2008.0,20210504,128.523877253,35.813551431,1,58,1,1,0,11,446.0,740.0,2.0,3.0,32.0,0,달서구,99.001
1264,대구광역시 달서구 월배로 80,진천역대성스카이렉스,125.6419,202009,26,"50,000",2008.0,20200926,128.523877253,35.813551431,1,58,1,1,0,11,446.0,740.0,2.0,4.0,32.0,0,달서구,86.849
1265,대구광역시 달서구 월배로 80,진천역대성스카이렉스,84.9302,202303,2,"29,500",2008.0,20230302,128.523877253,35.813551431,1,58,1,1,0,11,446.0,740.0,2.0,3.0,32.0,0,달서구,78.822
1266,대구광역시 달서구 월배로14길 43,진천현대,59.94,202304,29,"15,800",1995.0,20230429,128.522315925,35.811772169,1,39,0,1,0,14,204.0,194.0,1.0,3.0,22.0,1,달서구,77.727
1267,대구광역시 달서구 월배로14길 43,진천현대,84.6,202007,9,"24,000",1995.0,20200709,128.522315925,35.811772169,1,39,0,1,0,14,204.0,194.0,2.0,3.0,22.0,1,달서구,85.35
1268,대구광역시 달서구 월배로14길 43,진천현대,84.9,202304,29,"22,200",1995.0,20230429,128.522315925,35.811772169,1,39,0,1,0,14,204.0,194.0,2.0,3.0,22.0,1,달서구,77.727
1269,대구광역시 달서구 월배로14길 50,센텀리움,79.5097,202212,29,"32,800",2022.0,20221229,128.521464587,35.811187329,1,32,0,1,0,13,66.0,76.0,2.0,3.0,15.0,0,달서구,85.525
1270,대구광역시 달서구 월배로14길 59,골든파크빌라트,68.625,202112,3,"20,550",2001.0,20211203,128.522085087,35.810796122,1,29,0,1,0,12,19.0,14.0,1.0,3.0,5.0,0,달서구,100.245
1271,대구광역시 달서구 월배로14길 59,골든파크빌라트,73.98,201912,13,"14,000",2001.0,20191213,128.522085087,35.810796122,1,29,0,1,0,12,19.0,14.0,2.0,3.0,5.0,0,달서구,83.635
1272,대구광역시 달서구 월배로22길 14,뷰티하이츠,84.86,202103,10,"24,200",2003.0,20210310,128.526085997,35.814019717,2,64,1,1,0,11,18.0,18.0,2.0,3.0,10.0,0,달서구,97.104
1273,대구광역시 달서구 월배로22길 24,그린파크,84.69,202110,28,"28,460",2003.0,20211028,128.525869315,35.813536829,1,64,1,1,0,11,18.0,19.0,2.0,3.0,10.0,0,달서구,100.632
1274,대구광역시 달서구 월배로22길 35,테마스카이빌,81.145,202102,8,"21,800",2002.0,20210208,128.526367259,35.812830266,1,54,1,1,0,11,18.0,16.0,2.0,3.0,10.0,0,달서구,95.679
1275,대구광역시 달서구 월배로22길 43,그린팰리스A동,84.863,202011,2,"25,000",2015.0,20201102,128.526288576,35.812515456,1,54,1,1,0,12,26.0,22.0,2.0,3.0,10.0,0,달서구,89.372
1276,대구광역시 달서구 월배로22길 43,그린팰리스A동,84.912,202206,18,"23,000",2015.0,20220618,128.526288576,35.812515456,1,54,1,1,0,12,26.0,22.0,2.0,3.0,10.0,0,달서구,94.706
1277,대구광역시 달서구 월배로22길 43,그린팰리스A동,84.984,202107,15,"25,800",2015.0,20210715,128.526288576,35.812515456,1,54,1,1,0,12,26.0,22.0,2.0,3.0,10.0,0,달서구,100.364
1278,대구광역시 달서구 월배로23길 12,진천골드타운,82.98,202002,4,"17,000",2002.0,20200204,128.526579458,35.815275123,2,62,1,1,0,8,17.0,14.0,2.0,3.0,10.0,0,달서구,84.573
1279,대구광역시 달서구 월배로23길 16,진천탑클래스,84.9,202206,15,"30,000",2016.0,20220615,128.526574976,35.815465177,2,63,1,1,0,9,22.0,25.0,2.0,3.0,12.0,0,달서구,94.706
1280,대구광역시 달서구 월배로23길 60,로뎀아파트,84.19,202109,7,"30,000",2016.0,20210907,128.525706455,35.81736465,2,61,1,1,0,10,39.0,40.0,2.0,3.0,15.0,0,달서구,100.645
1281,대구광역시 달서구 월배로23길 60,로뎀아파트,84.31,202201,19,"28,200",2016.0,20220119,128.525706455,35.81736465,2,61,1,1,0,10,39.0,40.0,2.0,3.0,15.0,0,달서구,99.695
1282,대구광역시 달서구 월배로23길 60,로뎀아파트,84.8,202107,24,"30,250",2016.0,20210724,128.525706455,35.81736465,2,61,1,1,0,10,39.0,40.0,2.0,3.0,15.0,0,달서구,100.364
1283,대구광역시 달서구 월배로28길 12-5,대금풀하우스2차102동,77.69,202005,18,"18,700",2002.0,20200518,128.529827183,35.814937863,2,63,1,1,0,8,38.0,35.0,2.0,3.0,8.0,0,달서구,84.725
1284,대구광역시 달서구 월배로28길 12-5,대금풀하우스2차102동,83.87,202012,3,"22,000",2002.0,20201203,128.529827183,35.814937863,2,63,1,1,0,8,38.0,35.0,2.0,3.0,8.0,0,달서구,92.501
1285,대구광역시 달서구 월배로28길 8,대금풀하우스1차,80.48,202009,10,"22,000",2001.0,20200910,128.529482968,35.815112579,2,64,1,1,0,8,19.0,14.0,2.0,3.0,8.0,0,달서구,86.849
1286,대구광역시 달서구 월배로28안길 17-18,부국101동,84.94,202106,16,"21,500",2002.0,20210616,128.529795976,35.814088043,2,62,1,1,0,10,33.0,34.0,2.0,3.0,10.0,0,달서구,100.0
1287,대구광역시 달서구 월배로28안길 20,대마엘리시움,84.63,202304,27,"26,500",2003.0,20230427,128.528575189,35.814614485,2,64,1,1,0,11,35.0,33.0,2.0,3.0,13.0,0,달서구,77.727
1288,대구광역시 달서구 월배로28안길 20,대마엘리시움,84.87,202203,19,"24,900",2003.0,20220319,128.528575189,35.814614485,2,64,1,1,0,11,35.0,33.0,2.0,3.0,13.0,0,달서구,97.846
1289,대구광역시 달서구 월배로28안길 54,정덕한우리타운,84.242,201810,8,"17,800",2002.0,20181008,128.527879019,35.813247964,2,47,1,1,0,8,120.0,103.0,2.0,3.0,8.0,0,달서구,83.062
1290,대구광역시 달서구 월배로32안길 35,동백맨션,66.96,202103,24,"18,800",1990.0,20210324,128.53084208,35.814489429,2,56,1,1,0,9,318.0,284.0,1.0,3.0,13.0,0,달서구,97.104
1291,대구광역시 달서구 월배로32안길 35,동백맨션,84.92,202208,20,"18,500",1990.0,20220820,128.53084208,35.814489429,2,56,1,1,0,9,318.0,284.0,2.0,3.0,13.0,0,달서구,92.795
1292,대구광역시 달서구 월배로32안길 40,진천장미맨션,69.52,202011,10,"19,900",2000.0,20201110,128.529974431,35.814371209,2,62,1,1,0,9,19.0,14.0,1.0,3.0,6.0,0,달서구,89.372
1293,대구광역시 달서구 월배로32안길 40,진천장미맨션,77.16,201903,11,"17,000",2000.0,20190311,128.529974431,35.814371209,2,62,1,1,0,9,19.0,14.0,2.0,3.0,6.0,0,달서구,83.33
1294,대구광역시 달서구 월배로32안길 61,귀빈1차,71.24,202302,15,"23,000",1990.0,20230215,128.53041534,35.813273861,2,47,1,1,0,11,413.0,0.0,1.0,3.0,12.0,0,달서구,80.253
1295,대구광역시 달서구 월배로32안길 61,귀빈1차,79.02,202303,4,"20,900",1990.0,20230304,128.53041534,35.813273861,2,47,1,1,0,11,413.0,0.0,1.0,3.0,12.0,0,달서구,78.822
1296,대구광역시 달서구 월배로32안길 61,귀빈1차,84.89,202110,7,"35,500",1990.0,20211007,128.53041534,35.813273861,2,47,1,1,0,11,413.0,0.0,1.0,3.0,12.0,0,달서구,100.632
1297,대구광역시 달서구 월배로32안길 61,귀빈1차,84.95,202209,17,"26,000",1990.0,20220917,128.53041534,35.813273861,2,47,1,1,0,11,413.0,0.0,1.0,3.0,12.0,0,달서구,91.685
1298,대구광역시 달서구 월배로32안길 66,월배귀빈타운2,59.75,202302,3,"18,000",1994.0,20230203,128.52879427,35.812818167,2,43,1,1,0,9,461.0,466.0,1.0,3.0,19.0,0,달서구,80.253
1299,대구광역시 달서구 월배로32안길 66,월배귀빈타운2,84.94,202211,17,"27,000",1994.0,20221117,128.52879427,35.812818167,2,43,1,1,0,9,461.0,466.0,2.0,3.0,19.0,0,달서구,88.349
1300,대구광역시 달서구 월배로33길 53,월배역라온프라이빗,67.924,202304,21,"35,100",2018.0,20230421,128.528811279,35.817488565,2,69,1,1,0,11,230.0,278.0,2.0,3.0,20.0,0,달서구,77.727
1301,대구광역시 달서구 월배로33길 53,월배역라온프라이빗,80.945,202208,29,"36,000",2018.0,20220829,128.528811279,35.817488565,2,69,1,1,0,11,230.0,278.0,2.0,3.0,20.0,0,달서구,92.795
1302,대구광역시 달서구 월배로33길 53,월배역라온프라이빗,83.2298,202303,3,"38,000",2018.0,20230303,128.528811279,35.817488565,2,69,1,1,0,11,230.0,278.0,2.0,3.0,20.0,0,달서구,78.822
1303,대구광역시 달서구 월서로 51,월배역포스코더샵,104.0811,202108,26,"60,000",2006.0,20210826,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,3.0,29.0,1,달서구,100.56
1304,대구광역시 달서구 월서로 51,월배역포스코더샵,104.0811,202108,26,"60,000",2006.0,20210826,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,3.0,29.0,1,달서구,100.56
1305,대구광역시 달서구 월서로 51,월배역포스코더샵,110.6771,202303,23,"52,000",2006.0,20230323,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,4.0,29.0,1,달서구,78.822
1306,대구광역시 달서구 월서로 51,월배역포스코더샵,120.2758,201810,13,"70,500",2006.0,20181013,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,3.0,4.0,29.0,1,달서구,83.062
1307,대구광역시 달서구 월서로 51,월배역포스코더샵,120.9219,202011,3,"72,000",2006.0,20201103,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,3.0,4.0,29.0,1,달서구,89.372
1308,대구광역시 달서구 월서로 51,월배역포스코더샵,128.0799,202207,15,"60,500",2006.0,20220715,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,4.0,29.0,1,달서구,93.973
1309,대구광역시 달서구 월서로 51,월배역포스코더샵,151.1772,202107,12,"84,500",2006.0,20210712,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,4.0,29.0,1,달서구,100.364
1310,대구광역시 달서구 월서로 51,월배역포스코더샵,151.1772,202107,12,"84,500",2006.0,20210712,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,4.0,29.0,1,달서구,100.364
1311,대구광역시 달서구 월서로 51,월배역포스코더샵,159.8962,201802,27,"78,000",2006.0,20180227,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,3.0,4.0,29.0,1,달서구,82.226
1312,대구광역시 달서구 월서로 51,월배역포스코더샵,180.6085,202011,26,"130,000",2006.0,20201126,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,3.0,4.0,29.0,1,달서구,89.372
1313,대구광역시 달서구 월서로 51,월배역포스코더샵,205.6786,202004,23,"109,000",2006.0,20200423,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,3.0,4.0,29.0,1,달서구,84.705
1314,대구광역시 달서구 월서로 51,월배역포스코더샵,84.9624,202304,23,"41,500",2006.0,20230423,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,3.0,29.0,1,달서구,77.727
1315,대구광역시 달서구 월서로 51,월배역포스코더샵,84.9838,202304,13,"36,000",2006.0,20230413,128.528803922,35.818550113,2,61,1,1,0,10,816.0,1230.0,2.0,3.0,29.0,1,달서구,77.727
1316,대구광역시 달서구 진천로 25-8,상록,52.445,202012,28,"15,400",1980.0,20201228,128.525004488,35.811334115,1,42,1,1,0,12,40.0,7.0,2.0,3.0,5.0,0,달서구,92.501
1317,대구광역시 달서구 진천로 25-8,상록,56.265,202207,6,"13,000",1980.0,20220706,128.525004488,35.811334115,1,42,1,1,0,12,40.0,7.0,2.0,3.0,5.0,0,달서구,93.973
1318,대구광역시 달서구 진천로 41,청구타운,134.96,202202,23,"39,000",1995.0,20220223,128.524416307,35.812458014,1,56,1,1,0,11,464.0,469.0,2.0,4.0,20.0,0,달서구,98.998
1319,대구광역시 달서구 진천로 41,청구타운,59.99,202304,11,"18,600",1995.0,20230411,128.524416307,35.812458014,1,56,1,1,0,11,464.0,469.0,1.0,3.0,20.0,0,달서구,77.727
1320,대구광역시 달서구 진천로 41,청구타운,84.925,202301,12,"26,500",1995.0,20230112,128.524416307,35.812458014,1,56,1,1,0,11,464.0,469.0,2.0,3.0,20.0,0,달서구,82.874
1321,대구광역시 달서구 진천로 49,해동타운,84.86,202111,29,"33,700",2003.0,20211129,128.524287147,35.813127303,1,58,1,1,0,11,28.0,30.0,2.0,3.0,15.0,0,달서구,100.505
1322,대구광역시 달서구 진천로 77,계룡리슈빌,121.1541,202303,28,"55,000",2011.0,20230328,128.52110174,35.814845867,1,51,0,1,0,15,810.0,1507.0,2.0,4.0,31.0,0,달서구,78.822
1323,대구광역시 달서구 진천로 77,계룡리슈빌,124.5892,202304,21,"58,800",2011.0,20230421,128.52110174,35.814845867,1,51,0,1,0,15,810.0,1507.0,2.0,4.0,31.0,0,달서구,77.727
1324,대구광역시 달서구 진천로 77,계룡리슈빌,125.6754,202303,6,"57,900",2011.0,20230306,128.52110174,35.814845867,1,51,0,1,0,15,810.0,1507.0,2.0,4.0,31.0,0,달서구,78.822
1325,대구광역시 달서구 진천로 77,계룡리슈빌,144.2979,202304,16,"50,000",2011.0,20230416,128.52110174,35.814845867,1,51,0,1,0,15,810.0,1507.0,2.0,4.0,31.0,0,달서구,77.727
1326,대구광역시 달서구 진천로 77,계룡리슈빌,84.859,202304,25,"40,800",2011.0,20230425,128.52110174,35.814845867,1,51,0,1,0,15,810.0,1507.0,2.0,3.0,31.0,0,달서구,77.727
1327,대구광역시 달서구 진천로10길 17,진천힐스,84.4227,202103,20,"31,700",2014.0,20210320,128.525878339,35.813241172,1,61,1,1,0,11,18.0,15.0,2.0,3.0,10.0,0,달서구,97.104
1328,대구광역시 달서구 진천로10길 17,진천힐스,84.9176,201905,29,"24,500",2014.0,20190529,128.525878339,35.813241172,1,61,1,1,0,11,18.0,15.0,2.0,3.0,10.0,0,달서구,83.086
1329,대구광역시 달서구 진천로16길 26,진천역라온프라이빗센텀,68.336,202304,6,"41,900",2022.0,20230406,128.525989803,35.815424596,2,66,1,1,0,9,585.0,0.0,2.0,3.0,43.0,0,달서구,77.727
1330,대구광역시 달서구 진천로16길 26,진천역라온프라이빗센텀,68.9202,202303,10,"48,300",2022.0,20230310,128.525989803,35.815424596,2,66,1,1,0,9,585.0,0.0,2.0,3.0,43.0,0,달서구,78.822
1331,대구광역시 달서구 진천로16길 26,진천역라온프라이빗센텀,84.9605,202209,25,"58,440",2022.0,20220925,128.525989803,35.815424596,2,66,1,1,0,9,585.0,0.0,2.0,3.0,43.0,0,달서구,91.685
1332,대구광역시 달서구 진천로16길 26,진천역라온프라이빗센텀,84.9605,202209,25,"58,440",2022.0,20220925,128.525989803,35.815424596,2,66,1,1,0,9,585.0,0.0,2.0,3.0,43.0,0,달서구,91.685
1333,대구광역시 달서구 진천로16길 26,진천역라온프라이빗센텀,94.7846,202209,21,"60,761",2022.0,20220921,128.525989803,35.815424596,2,66,1,1,0,9,585.0,0.0,2.0,4.0,43.0,0,달서구,91.685
1334,대구광역시 달서구 진천로16길 85,진천월성위너파크,34.323,202104,30,"11,500",2003.0,20210430,128.527520503,35.817156635,2,74,1,1,0,9,78.0,1.0,1.0,2.0,14.0,0,달서구,98.105
