정류장명,위도,경도
평산입구(경산방향),35.8127,128.774
평산입구(한의대방향),35.8128,128.774
평산동(남성초등학교 건너),35.8128,128.7744
우검1리(사림방향),35.7769,128.8364
평산동(남성초등학교),35.813,128.7746
송내리1(조곡방향),35.7824,128.828
전지1리(경산방향),35.7912,128.8131
남곡리(남산방향),35.7752,128.8415
대풍지 건너,35.8175,128.7687
남곡리(갈고개방향),35.7754,128.8415
전지1리(반곡방향),35.7925,128.8131
신천입구(자인방향),35.8116,128.7801
신천입구(경산방향),35.8118,128.7801
하대정미소,35.7985,128.8038
하대1리회관,35.7988,128.8039
진못(자인방향),35.8111,128.7828
진못(경산방향),35.8112,128.7837
하대리(경산방향),35.7994,128.8047
남산지(사림방향),35.7797,128.8386
갈지리회관,35.7772,128.8427
갈지리회관 건너,35.7773,128.8426
전지입구(경산방향),35.7954,128.8137
전지입구(남산방향),35.7954,128.8139
하대리3(경산방향),35.8013,128.8054
남방(자인방향),35.8112,128.7883
남방(경산방향),35.8114,128.7883
송내리2(조곡방향),35.7868,128.8315
송내리2(남산방향),35.7868,128.8316
조폐공사(한의대방향),35.825,128.7659
조폐공사(영대방향),35.82505,128.76617
인흥리,35.8067,128.8008
사월공단(남산방향),35.7948,128.8216
경동2리(남산방향),35.7822,128.8438
삼육중고 건너,35.7889,128.8326
삼육중고,35.789,128.8326
경동2리복지회관,35.783,128.8435
산양리(사림방향),35.7854,128.8395
계남2리(원당방향),35.8009,128.8132
계남2리,35.801,128.8133
송내공단(경산방향),35.7956,128.8264
당리리(경산방향),35.8123,128.7985
당리리(자인방향),35.8123,128.7988
사월리(남산방향),35.79435,128.83229
곡란,35.7658,128.8793
곡란(용성방향),35.7659,128.8794
당리경노당 건너,35.8127,128.8011
사월리(경산방향),35.7944,128.8326
당리경노당 앞,35.81299,128.8017
남산복지회관,35.7938,128.8355
남산복지회관 건너,35.7937,128.8356
남산우체국 건너,35.7923,128.8386
옥천리,35.7943,128.8359
경동1리(갈고개방향),35.7899,128.8436
경동1리(남산방향),35.79,128.8437
원당 건너,35.8013,128.8262
