,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
5025,대구광역시 수성구 범물동,697-1,697,1,보성송정타운,59.96,202208,7,"18,800",10,1995.0,지범로46길 43,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로46길 43 59.96,대구광역시 수성구 범물동 지범로46길 43,20220807,128.642935165,35.813987022
5026,대구광역시 수성구 범물동,697-1,697,1,보성송정타운,84.99,202212,6,"26,000",1,1995.0,지범로46길 43,,직거래,-,대구광역시 수성구 범물동 지범로46길 43 84.99,대구광역시 수성구 범물동 지범로46길 43,20221206,128.642935165,35.813987022
5027,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.6522,202304,27,"45,300",13,2020.0,지범로48길 21,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로48길 21 77.6522,대구광역시 수성구 범물동 지범로48길 21,20230427,128.644252808,35.815059162
5028,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.9966,202304,30,"47,000",12,2020.0,지범로48길 21,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로48길 21 77.9966,대구광역시 수성구 범물동 지범로48길 21,20230430,128.644252808,35.815059162
5029,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202304,22,"49,500",4,2020.0,지범로48길 21,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로48길 21 84.9978,대구광역시 수성구 범물동 지범로48길 21,20230422,128.644252808,35.815059162
5030,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202304,22,"49,500",4,2020.0,지범로48길 21,20230425.0,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로48길 21 84.9978,대구광역시 수성구 범물동 지범로48길 21,20230422,128.644252808,35.815059162
5031,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,137.46,202212,26,"50,000",2,2007.0,지범로52길 69,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로52길 69 137.46,대구광역시 수성구 범물동 지범로52길 69,20221226,128.644100971,35.814029240
5032,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,137.61,202302,6,"55,000",4,2007.0,지범로52길 69,,직거래,-,대구광역시 수성구 범물동 지범로52길 69 137.61,대구광역시 수성구 범물동 지범로52길 69,20230206,128.644100971,35.814029240
5033,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,144.35,202104,12,"55,000",7,2007.0,지범로52길 69,,-,-,대구광역시 수성구 범물동 지범로52길 69 144.35,대구광역시 수성구 범물동 지범로52길 69,20210412,128.644100971,35.814029240
5034,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,144.38,202012,24,"51,500",5,2007.0,지범로52길 69,,-,-,대구광역시 수성구 범물동 지범로52길 69 144.38,대구광역시 수성구 범물동 지범로52길 69,20201224,128.644100971,35.814029240
5035,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,144.48,201807,15,"49,500",7,2007.0,지범로52길 69,,-,-,대구광역시 수성구 범물동 지범로52길 69 144.48,대구광역시 수성구 범물동 지범로52길 69,20180715,128.644100971,35.814029240
5036,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,146.41,201901,7,"49,000",1,2007.0,지범로52길 69,,-,-,대구광역시 수성구 범물동 지범로52길 69 146.41,대구광역시 수성구 범물동 지범로52길 69,20190107,128.644100971,35.814029240
5037,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,153.65,202003,31,"57,000",4,2007.0,지범로52길 69,,-,-,대구광역시 수성구 범물동 지범로52길 69 153.65,대구광역시 수성구 범물동 지범로52길 69,20200331,128.644100971,35.814029240
5038,대구광역시 수성구 범물동,634,634,0,수성범물인앤인,155.05,202205,3,"68,000",5,2007.0,지범로52길 69,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로52길 69 155.05,대구광역시 수성구 범물동 지범로52길 69,20220503,128.644100971,35.814029240
5039,대구광역시 수성구 범물동,630,630,0,현대청림,134.965,202303,29,"41,000",11,1999.0,지범로54길 15,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로54길 15 134.965,대구광역시 수성구 범물동 지범로54길 15,20230329,128.646327084,35.814488209
5040,대구광역시 수성구 범물동,630,630,0,현대청림,33.6,202204,23,"11,600",14,1999.0,지범로54길 15,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로54길 15 33.6,대구광역시 수성구 범물동 지범로54길 15,20220423,128.646327084,35.814488209
5041,대구광역시 수성구 범물동,630,630,0,현대청림,59.99,202304,27,"21,200",7,1999.0,지범로54길 15,,직거래,-,대구광역시 수성구 범물동 지범로54길 15 59.99,대구광역시 수성구 범물동 지범로54길 15,20230427,128.646327084,35.814488209
5042,대구광역시 수성구 범물동,630,630,0,현대청림,84.98,202304,24,"30,000",10,1999.0,지범로54길 15,,직거래,-,대구광역시 수성구 범물동 지범로54길 15 84.98,대구광역시 수성구 범물동 지범로54길 15,20230424,128.646327084,35.814488209
5043,대구광역시 수성구 범어동,2017,2017,0,청구성조타운,134.96,202010,13,"54,500",13,1996.0,국채보상로 846,,-,-,대구광역시 수성구 범어동 국채보상로 846 134.96,대구광역시 수성구 범어동 국채보상로 846,20201013,128.622711334,35.867024094
5044,대구광역시 수성구 범어동,2017,2017,0,청구성조타운,59.455,202109,11,"41,800",2,1996.0,국채보상로 846,,-,-,대구광역시 수성구 범어동 국채보상로 846 59.455,대구광역시 수성구 범어동 국채보상로 846,20210911,128.622711334,35.867024094
5045,대구광역시 수성구 범어동,2017,2017,0,청구성조타운,79.35,202106,5,"53,000",11,1996.0,국채보상로 846,,-,-,대구광역시 수성구 범어동 국채보상로 846 79.35,대구광역시 수성구 범어동 국채보상로 846,20210605,128.622711334,35.867024094
5046,대구광역시 수성구 범어동,2017,2017,0,청구성조타운,84.9,202110,9,"63,000",19,1996.0,국채보상로 846,,-,-,대구광역시 수성구 범어동 국채보상로 846 84.9,대구광역시 수성구 범어동 국채보상로 846,20211009,128.622711334,35.867024094
5047,대구광역시 수성구 범어동,189-3,189,3,효성,93.16,201904,26,"50,000",1,1979.0,달구벌대로 2430,,-,-,대구광역시 수성구 범어동 달구벌대로 2430 93.16,대구광역시 수성구 범어동 달구벌대로 2430,20190426,0,0
