,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
1,학산,46B㎡,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,46.75,40.9,87,2,1,60,계단식,9990.0,39960.0,1998.0,27972.0,0.0,0.0,0.0,,55976,54683,"7,500~7,900","6,500",,,대구현풍초등학교,공립,140.0,140.0
2,학산,47A㎡,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,47.42,39.94,84,2,1,180,계단식,9990.0,39960.0,1998.0,27972.0,0.0,0.0,0.0,,54656,53393,"7,300~9,000","4,700~7,000","1,700/20","1,700/20",대구현풍초등학교,공립,140.0,140.0
3,학산,55㎡,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,55.39,49.54,89,2,1,40,계단식,11048.0,44191.0,2210.0,30933.0,0.0,0.0,0.0,,67800,66233,"8,500",,,,대구현풍초등학교,공립,140.0,140.0
4,학산,64㎡,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,64.03,58.18,91,2,1,20,계단식,14333.0,57331.0,2867.0,40131.0,0.0,0.0,0.0,,79623,77783,,,,,대구현풍초등학교,공립,140.0,140.0
5,학산,76,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,76.99,71.14,92,3,1,20,계단식,17145.0,68580.0,3429.0,48006.0,0.0,0.0,0.0,,97358,95109,"1억 3,900",,,,대구현풍초등학교,공립,140.0,140.0
0,현풍상리군영,59,대구시 달성군 현풍읍 상리 188,대구시 달성군 현풍동로20길 48-2,35.702295,128.454117,44.0,0.0,6.0,4.0,0,0,0.0,,HT001,59.92,59.92,100,2,1,44,계단식,9563.0,38251.0,1913.0,26775.0,0.0,0.0,0.0,,,,"6,500",,300/30~500/40,300/30~500/40,대구현풍초등학교,공립,140.0,140.0
0,대곡역그린빌,76B㎡,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,76.62,59.98,78,3,2,231,계단식,43800.0,155880.0,8760.0,103320.0,0.0,0.0,0.0,18500.0,225672,139635,"1억 9,000~2억 6,000","1억 5,000",,,대구화동초등학교,공립,133.0,147.0
1,대곡역그린빌,76A㎡,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,76.49,59.88,78,3,2,113,계단식,43800.0,155880.0,8760.0,103320.0,0.0,0.0,0.0,18500.0,225295,139402,"1억 8,000~2억 2,500",,,,대구화동초등학교,공립,133.0,147.0
2,대곡역그린빌,76C㎡,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,76.45,59.85,78,3,2,41,계단식,43800.0,155880.0,8760.0,103320.0,0.0,0.0,0.0,18500.0,225182,139332,"1억 8,800~2억 500",,,,대구화동초등학교,공립,133.0,147.0
3,대곡역그린빌,96㎡,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,96.57,75.6,78,3,2,354,계단식,55500.0,186300.0,11100.0,119700.0,0.0,0.0,0.0,22000.0,284441,175999,"2억~2억 9,500","1억 5,000",,,대구화동초등학교,공립,133.0,147.0
4,대곡역그린빌,107B㎡,대구시 달성군 화원읍 본리리 113-1,대구시 달성군 명천로 57,35.803628,128.51131,1170.0,0.0,15.0,12.0,190,15,1322.0,두산건설(주)외 1건,HT005,107.79,84.38,78,3,2,195,계단식,64050.0,208530.0,12810.0,131670.0,0.0,0.0,0.0,24500.0,317475,196439,"2억 2,000~2억 7,000","1억 6,000","1,000/65","1,000/65",대구화동초등학교,공립,133.0,147.0
