,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,화성리버파크2단지,78㎡,대구시 북구 서변동 1793,대구시 북구 서변로 50,35.920402,128.597492,515.0,0.0,15.0,13.0,216,21,528.0,화성산업주식회사,HT001,78.42,59.96,76,3,2,260,계단식,28575.0,114300.0,5715.0,80010.0,0.0,0.0,0.0,19000.0,125844,132500,"1억 9,000~2억 1,000",,,,대구서변초등학교,공립,227.0,216.0
1,화성리버파크2단지,107㎡,대구시 북구 서변동 1793,대구시 북구 서변로 50,35.920402,128.597492,515.0,0.0,15.0,13.0,216,21,528.0,화성산업주식회사,HT001,107.27,84.93,79,3,2,171,계단식,49200.0,169920.0,9840.0,110880.0,0.0,0.0,0.0,19000.0,178239,187665,"2억 4,000~3억","1억 8,000","3,000/80~1억/40","3,000/80~1억/40",대구서변초등학교,공립,227.0,216.0
2,화성리버파크2단지,151,대구시 북구 서변동 1793,대구시 북구 서변로 50,35.920402,128.597492,515.0,0.0,15.0,13.0,216,21,528.0,화성산업주식회사,HT001,151.2,125.02,83,4,2,84,계단식,72600.0,230760.0,14520.0,143640.0,0.0,0.0,0.0,23750.0,262384,276260,"3억~3억 7,000",,,,대구서변초등학교,공립,227.0,216.0
0,연경금성백조예미지숲속의아침,102㎡,대구시 북구 연경동 943,대구시 북구 연경중앙로 11,35.944615,128.616672,711.0,0.0,18.0,8.0,175,19,986.0,"(주)금성백조주택,(주)금성백조건설",HT001,102.13,78.99,77,3,2,107,계단식,84750.0,262350.0,16950.0,160650.0,0.0,0.0,0.0,37500.0,171306,183043,"3억 5,000~4억 1,000",2억,"2,000/90","2,000/90",대구연경초등학교,공립,306.0,287.0
1,연경금성백조예미지숲속의아침,108㎡,대구시 북구 연경동 943,대구시 북구 연경중앙로 11,35.944615,128.616672,711.0,0.0,18.0,8.0,175,19,986.0,"(주)금성백조주택,(주)금성백조건설",HT001,108.36,84.99,78,3,2,363,계단식,94200.0,286920.0,18840.0,173880.0,0.0,0.0,0.0,39500.0,184322,196950,"3억 5,000~4억 6,000","2억 1,000~2억 4,000","2,000/90~3,000/100","2,000/90~3,000/100",대구연경초등학교,공립,306.0,287.0
2,연경금성백조예미지숲속의아침,129,대구시 북구 연경동 943,대구시 북구 연경중앙로 11,35.944615,128.616672,711.0,0.0,18.0,8.0,175,19,986.0,"(주)금성백조주택,(주)금성백조건설",HT001,129.49,101.99,79,3,2,241,계단식,107250.0,320850.0,21450.0,192150.0,0.0,0.0,0.0,44000.0,221190,236344,"4억 1,000~5억 7,000","2억 4,000~2억 8,000","2,000/100~8,000/70","2,000/100~8,000/70",대구연경초등학교,공립,306.0,287.0
0,연경대광로제비앙더퍼스트,109A㎡,대구시 북구 연경동 994,대구시 북구 동화천로 220,35.94136,128.616859,580.0,0.0,18.0,14.0,199,18,826.0,(주)대광건영,HT001,109.09,84.98,78,3,2,295,계단식,95550.0,290430.0,19110.0,175770.0,0.0,0.0,0.0,37500.0,162899,187179,"3억 2,000~5억 5,000","2억 4,000","2,000/100~3,000/90","2,000/100~3,000/90",대구연경초등학교,공립,306.0,287.0
1,연경대광로제비앙더퍼스트,110B㎡,대구시 북구 연경동 994,대구시 북구 동화천로 220,35.94136,128.616859,580.0,0.0,18.0,14.0,199,18,826.0,(주)대광건영,HT001,110.71,84.93,77,3,2,89,계단식,93750.0,285750.0,18750.0,173250.0,0.0,0.0,0.0,39500.0,162810,187077,"3억 4,000~4억 2,000","2억 4,000","2,000/110","2,000/110",대구연경초등학교,공립,306.0,287.0
2,연경대광로제비앙더퍼스트,135,대구시 북구 연경동 994,대구시 북구 동화천로 220,35.94136,128.616859,580.0,0.0,18.0,14.0,199,18,826.0,(주)대광건영,HT001,135.71,109.51,81,4,2,196,계단식,137700.0,387630.0,27540.0,222390.0,0.0,0.0,0.0,44000.0,209924,241213,"5억~6억 9,000",,,,대구연경초등학교,공립,306.0,287.0
0,연경동화아이위시,109A㎡,대구시 북구 연경동 987,대구시 북구 동화천로 190,35.940481,128.613854,627.0,0.0,18.0,13.0,199,23,985.0,(주)동화건설,HT001,109.15,84.99,78,3,2,246,계단식,91050.0,278730.0,18210.0,169470.0,0.0,0.0,0.0,37500.0,174047,195480,"3억 4,900~4억 5,000","2억 1,000~2억 9,000","2,000/90","2,000/90",대구연경초등학교,공립,306.0,287.0
1,연경동화아이위시,109B㎡,대구시 북구 연경동 987,대구시 북구 동화천로 190,35.940481,128.613854,627.0,0.0,18.0,13.0,199,23,985.0,(주)동화건설,HT001,109.32,84.94,78,2,2,169,계단식,91050.0,278730.0,18210.0,169470.0,0.0,0.0,0.0,39500.0,173937,195356,"3억 2,000~5억 6,000","2억 2,000~2억 8,500","2,000/90~2,000/100","2,000/90~2,000/100",대구연경초등학교,공립,306.0,287.0
2,연경동화아이위시,140,대구시 북구 연경동 987,대구시 북구 동화천로 190,35.940481,128.613854,627.0,0.0,18.0,13.0,199,23,985.0,(주)동화건설,HT001,140.05,115.26,82,3,2,212,계단식,132300.0,377370.0,26460.0,218610.0,0.0,0.0,0.0,44000.0,236029,265095,"4억 9,000~6억 5,000","3억~3억 5,000","3,000/120","3,000/120",대구연경초등학교,공립,306.0,287.0
0,연경우방아이유쉘더포레스트,78㎡,대구시 북구 연경동 931,대구시 북구 연경중앙로11길 33,35.945278,128.614236,503.0,0.0,15.0,9.0,169,21,659.0,(주)우방,HT001,78.74,60.51,77,3,2,22,계단식,57300.0,190980.0,11460.0,122220.0,0.0,0.0,0.0,37500.0,148472,151491,,,,,대구연경초등학교,공립,306.0,287.0
1,연경우방아이유쉘더포레스트,97A㎡,대구시 북구 연경동 931,대구시 북구 연경중앙로11길 33,35.945278,128.614236,503.0,0.0,15.0,9.0,169,21,659.0,(주)우방,HT001,97.64,76.09,78,4,2,64,계단식,71700.0,228420.0,14340.0,142380.0,0.0,0.0,0.0,39500.0,186703,190500,"3억 3,000~3억 5,000",,,,대구연경초등학교,공립,306.0,287.0
2,연경우방아이유쉘더포레스트,99B㎡,대구시 북구 연경동 931,대구시 북구 연경중앙로11길 33,35.945278,128.614236,503.0,0.0,15.0,9.0,169,21,659.0,(주)우방,HT001,99,76.53,77,3,2,112,계단식,71700.0,228420.0,14340.0,142380.0,0.0,0.0,0.0,44000.0,187781,191601,"3억~4억 2,000",,"2,000/80~3,000/80","2,000/80~3,000/80",대구연경초등학교,공립,306.0,287.0
3,연경우방아이유쉘더포레스트,109A㎡,대구시 북구 연경동 931,대구시 북구 연경중앙로11길 33,35.945278,128.614236,503.0,0.0,15.0,9.0,169,21,659.0,(주)우방,HT001,109,84.96,78,4,2,285,계단식,82950.0,257670.0,16590.0,158130.0,0.0,0.0,0.0,,208476,212716,"3억 2,000~4억 5,500","2억~2억 5,000","1,000/90~3,000/90","1,000/90~3,000/90",대구연경초등학교,공립,306.0,287.0
4,연경우방아이유쉘더포레스트,109B,대구시 북구 연경동 931,대구시 북구 연경중앙로11길 33,35.945278,128.614236,503.0,0.0,15.0,9.0,169,21,659.0,(주)우방,HT001,109,84.96,78,3,2,20,계단식,81600.0,254160.0,16320.0,156240.0,0.0,0.0,0.0,,208463,212704,"3억 4,000~4억","2억 6,000",,,대구연경초등학교,공립,306.0,287.0
0,SD아이프라임강북,107㎡,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,107.54,84.96,79,3,2,230,계단식,80250.0,250650.0,16050.0,154350.0,0.0,0.0,0.0,29500.0,179792,178976,"2억 6,500~3억 3,000","2억 1,000~2억 3,000","1억 7,000/33","1억 7,000/33",대구교동초등학교,공립,113.0,110.0
1,SD아이프라임강북,109A㎡,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,109.57,84.96,78,3,2,56,계단식,80250.0,250650.0,16050.0,154350.0,0.0,0.0,0.0,30000.0,179792,178976,"2억 7,000~2억 9,500","1억 8,000",,,대구교동초등학교,공립,113.0,110.0
2,SD아이프라임강북,110B㎡,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,110.96,84.96,77,3,2,88,계단식,80250.0,250650.0,16050.0,154350.0,0.0,0.0,0.0,30000.0,179773,178958,"2억 8,500~4억 2,900","1억 8,000~2억","2,000/85","2,000/85",대구교동초등학교,공립,113.0,110.0
3,SD아이프라임강북,148㎡,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,148.99,118.48,80,4,2,89,계단식,112200.0,333720.0,22440.0,199080.0,0.0,0.0,0.0,41000.0,250703,249565,"3억 8,000~6억 5,000","3억 1,000",,,대구교동초등학교,공립,113.0,110.0
4,SD아이프라임강북,152B㎡,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,152.82,122.75,80,4,2,81,계단식,122400.0,358560.0,24480.0,211680.0,0.0,0.0,0.0,42000.0,259754,258575,"4억 3,000~4억 8,000","3억 3,000~3억 4,000",,,대구교동초등학교,공립,113.0,110.0
5,SD아이프라임강북,152A,대구시 북구 읍내동 1448,대구시 북구 칠곡중앙대로125길 7,35.950994,128.551997,573.0,0.0,15.0,11.0,247,23,844.0,에스디건설(주),HT001,152.59,123.61,81,4,2,29,계단식,122400.0,358560.0,24480.0,211680.0,0.0,0.0,0.0,42000.0,261562,260375,"4억 5,000~4억 6,500","3억 1,000","2,000/130","2,000/130",대구교동초등학교,공립,113.0,110.0
0,강북태왕아너스더퍼스트,79A㎡,대구시 북구 읍내동 1452,대구시 북구 칠곡중앙대로110길 10,35.9439,128.552164,234.0,0.0,20.0,18.0,232,21,294.0,(주)태왕,HT001,79.96,62.48,78,3,2,79,계단식,,,,,,,,29500.0,179641,183900,"3억 2,500~3억 5,000","2억 7,000","2,000/100","2,000/100",대구칠곡초등학교,공립,294.0,253.0
1,강북태왕아너스더퍼스트,80B㎡,대구시 북구 읍내동 1452,대구시 북구 칠곡중앙대로110길 10,35.9439,128.552164,234.0,0.0,20.0,18.0,232,21,294.0,(주)태왕,HT001,80.32,62.79,78,3,2,17,계단식,,,,,,,,30000.0,180519,184799,"3억 7,000","2억 8,000",,,대구칠곡초등학교,공립,294.0,253.0
2,강북태왕아너스더퍼스트,109,대구시 북구 읍내동 1452,대구시 북구 칠곡중앙대로110길 10,35.9439,128.552164,234.0,0.0,20.0,18.0,232,21,294.0,(주)태왕,HT001,109.09,84.95,78,3,2,138,계단식,,,,,,,,30000.0,244212,250003,"4억~4억 9,000","2억 7,000~3억 7,500","3,000/110","3,000/110",대구칠곡초등학교,공립,294.0,253.0
0,동림,37㎡,대구시 북구 읍내동 943-4,대구시 북구 칠곡중앙대로 512-1,35.941175,128.550975,50.0,0.0,5.0,5.0,0,0,0.0,,HT001,37.05,37.05,100,1,1,3,계단식,9720.0,38880.0,1944.0,27216.0,0.0,0.0,0.0,30000.0,,,"8,500",,,,대구칠곡초등학교,공립,294.0,253.0
1,동림,41㎡,대구시 북구 읍내동 943-4,대구시 북구 칠곡중앙대로 512-1,35.941175,128.550975,50.0,0.0,5.0,5.0,0,0,0.0,,HT001,41.04,35.19,86,1,1,2,계단식,9585.0,38340.0,1917.0,26838.0,0.0,0.0,0.0,30000.0,,,,,,,대구칠곡초등학교,공립,294.0,253.0
2,동림,41㎡,대구시 북구 읍내동 943-4,대구시 북구 칠곡중앙대로 512-1,35.941175,128.550975,50.0,0.0,5.0,5.0,0,0,0.0,,HT001,41.39,27.69,67,1,1,1,계단식,8798.0,35191.0,1760.0,24633.0,0.0,0.0,0.0,41000.0,,,,,,,대구칠곡초등학교,공립,294.0,253.0
3,동림,50,대구시 북구 읍내동 943-4,대구시 북구 칠곡중앙대로 512-1,35.941175,128.550975,50.0,0.0,5.0,5.0,0,0,0.0,,HT001,50.71,37.01,73,2,1,44,계단식,10148.0,40591.0,2030.0,28413.0,0.0,0.0,0.0,29500.0,,,"8,500",,300/35~500/35,300/35~500/35,대구칠곡초등학교,공립,294.0,253.0
0,목련,52㎡,대구시 북구 읍내동 1171,대구시 북구 구암로15길 38,35.93717,128.55035,530.0,0.0,5.0,5.0,0,0,530.0,목련건설,HT001,52.89,43.02,81,2,1,250,계단식,26325.0,105300.0,5265.0,73710.0,0.0,0.0,0.0,29500.0,53403,51873,"1억 3,000~1억 5,000","5,000~5,500",200/28~300/30,200/28~300/30,대구대천초등학교,공립,181.0,168.0
1,목련,59,대구시 북구 읍내동 1171,대구시 북구 구암로15길 38,35.93717,128.55035,530.0,0.0,5.0,5.0,0,0,530.0,목련건설,HT001,59.5,50.22,84,2,1,280,계단식,30300.0,120780.0,6060.0,84420.0,0.0,0.0,0.0,30000.0,62341,60554,"1억 4,500~1억 7,000","5,500~6,000",300/30~300/35,300/30~300/35,대구대천초등학교,공립,181.0,168.0
0,삼진목화,27㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,27.72,27.72,100,2,1,2,복도식,5828.0,23311.0,1166.0,16317.0,0.0,0.0,0.0,29500.0,52285,53610,,,,,대구대천초등학교,공립,181.0,168.0
1,삼진목화,52㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,52.86,52.86,100,2,1,54,복도식,15503.0,62011.0,3101.0,43407.0,0.0,0.0,0.0,30000.0,99704,102230,"9,500~1억",,"2,000/35","2,000/35",대구대천초등학교,공립,181.0,168.0
2,삼진목화,58㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,58.44,58.44,100,3,1,92,복도식,16268.0,65071.0,3254.0,45549.0,0.0,0.0,0.0,30000.0,110229,113021,"1억~1억 2,000","8,000","1,000/50","1,000/50",대구대천초등학교,공립,181.0,168.0
3,삼진목화,61㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,61.74,61.74,100,3,1,33,복도식,17213.0,68851.0,3443.0,48195.0,0.0,0.0,0.0,41000.0,116453,119403,"1억 3,000",,,,대구대천초등학교,공립,181.0,168.0
4,삼진목화,65㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,65.16,65.16,100,3,1,4,복도식,17528.0,70111.0,3506.0,49077.0,0.0,0.0,0.0,42000.0,122904,126018,,,,,대구대천초등학교,공립,181.0,168.0
5,삼진목화,72㎡,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,72.13,72.13,100,3,1,10,복도식,19260.0,77040.0,3852.0,53928.0,0.0,0.0,0.0,42000.0,136050,139497,,"1억 1,000",,,대구대천초등학교,공립,181.0,168.0
6,삼진목화,91,대구시 북구 읍내동 1060,대구시 북구 대천로9길 15,35.938986,128.554731,198.0,0.0,14.0,6.0,267,32,66.0,(주)삼진개발,HT001,91.62,91.62,100,3,2,3,복도식,20655.0,82620.0,4131.0,57834.0,0.0,0.0,0.0,,172812,177190,,,,,대구대천초등학교,공립,181.0,168.0
0,상원그린타운,76A㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,76.83,69.42,90,2,1,8,계단식,54360.0,141336.0,10872.0,76104.0,0.0,0.0,0.0,30000.0,,,,,,,대구교동초등학교,공립,113.0,110.0
1,상원그린타운,76B㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,76.89,69.42,90,3,2,1,계단식,54360.0,141336.0,10872.0,76104.0,0.0,0.0,0.0,41000.0,,,,,,,대구교동초등학교,공립,113.0,110.0
2,상원그린타운,77C㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,77.14,69.42,90,2,1,5,계단식,57960.0,150696.0,11592.0,81144.0,0.0,0.0,0.0,,,,,,,,대구교동초등학교,공립,113.0,110.0
3,상원그린타운,79A㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,79.05,71.37,90,3,2,1,계단식,57120.0,148512.0,11424.0,79968.0,0.0,0.0,0.0,30000,,,,,,,대구교동초등학교,공립,113.0,110.0
4,상원그린타운,80B㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,80.2,72.45,90,3,2,4,계단식,,,,,,,,42000,,,,,,,대구교동초등학교,공립,113.0,110.0
5,상원그린타운,82A㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,82.82,74.82,90,3,2,24,계단식,63600,163680,12720,87360,0,0,0,42000,,,,,,,대구교동초등학교,공립,113.0,110.0
6,상원그린타운,82B㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,82.87,74.82,90,3,2,3,계단식,63600,163680,12720,87360,0,0,0,,,,,,,,대구교동초등학교,공립,113.0,110.0
7,상원그린타운,83D㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,83.19,75.15,90,3,2,32,계단식,64500,165600,12900,88200,0,0,0,29500,,,"1억 5,000",,,,대구교동초등학교,공립,113.0,110.0
8,상원그린타운,83C㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,83.14,74.82,90,3,2,3,계단식,63600,163680,12720,87360,0,0,0,,,,,,,,대구교동초등학교,공립,113.0,110.0
9,상원그린타운,83E㎡,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,83.24,75.15,90,3,2,3,계단식,64500,165600,12900,88200,0,0,0,,,,,,,,대구교동초등학교,공립,113.0,110.0
10,상원그린타운,84F,대구시 북구 읍내동 306-14,대구시 북구 칠곡중앙대로 639-5,35.952289,128.552737,88.0,0.0,5.0,5.0,0,0,89.0,상원주택,HT001,84.24,76.1,90,3,2,4,계단식,,,,,,,,,,,,,,,대구교동초등학교,공립,113.0,110.0
0,송암타운,123,대구시 북구 읍내동 1308,대구시 북구 관음동로 110,35.942938,128.547773,54.0,0.0,4.0,3.0,102,16,52.0,(주)우왕건설,HT001,123.78,84.91,69,3,2,54,계단식,78900.0,196320.0,15780.0,101640.0,0.0,0.0,0.0,29500.0,,,,,"1,000/68","1,000/68",대구관음초등학교,공립,146.0,122.0
0,은호,56,대구시 북구 읍내동 455,대구시 북구 칠곡중앙대로118길 23,35.947753,128.555155,98.0,0.0,5.0,4.0,0,0,0.0,대진종합건설(주),HT001,56.52,49.32,87,3,1,98,계단식,15435.0,61740.0,3087.0,43218.0,0.0,0.0,0.0,29500.0,,,"1억 1,000~1억 2,000","5,500",500/45,500/45,대구칠곡초등학교,공립,294.0,253.0
0,제일,127,대구시 북구 읍내동 1338,대구시 북구 칠곡중앙대로 454,35.937252,128.549552,96.0,0.0,4.0,4.0,0,0,101.0,제일토건건축주식회사,HT001,127.28,84.91,67,3,2,96,계단식,135600.0,317280.0,27120.0,154560.0,0.0,0.0,0.0,29500.0,,,"3억 2,000~3억 5,000",,"2,000/60","2,000/60",대구대천초등학교,공립,181.0,168.0
0,청암타운,123,대구시 북구 읍내동 1303,대구시 북구 관음동로 128,35.94436,128.54789,172.0,0.0,4.0,3.0,79,32,172.0,(주)창신주택,HT001,123.35,84.91,69,3,2,172,계단식,91500.0,223200.0,18300.0,113400.0,0.0,0.0,0.0,29500.0,102198,98442,"2억 2,500~2억 6,500",,,,대구교동초등학교,공립,113.0,110.0
0,칠곡-e편한세상,109B㎡,대구시 북구 읍내동 491,대구시 북구 칠곡중앙대로 598,35.948779,128.553433,608.0,0.0,19.0,10.0,250,22,984.0,대림산업(주),HT001,109.57,84.95,78,3,2,69,계단식,93300.0,284580.0,18660.0,172620.0,0.0,0.0,0.0,30000.0,185017,191496,"3억 2,000~4억 4,000","2억 5,000",,,대구칠곡초등학교,공립,294.0,253.0
1,칠곡-e편한세상,110A㎡,대구시 북구 읍내동 491,대구시 북구 칠곡중앙대로 598,35.948779,128.553433,608.0,0.0,19.0,10.0,250,22,984.0,대림산업(주),HT001,110.37,84.73,77,3,2,216,계단식,93300.0,284580.0,18660.0,172620.0,0.0,0.0,0.0,29500.0,184532,190994,"3억 3,000~4억","2억 3,000~2억 5,000","2,000/95~2,000/100","2,000/95~2,000/100",대구칠곡초등학교,공립,294.0,253.0
2,칠곡-e편한세상,163㎡,대구시 북구 읍내동 491,대구시 북구 칠곡중앙대로 598,35.948779,128.553433,608.0,0.0,19.0,10.0,250,22,984.0,대림산업(주),HT001,163.08,124.82,77,4,2,230,계단식,151200.0,413280.0,30240.0,231840.0,0.0,0.0,0.0,30000.0,271851,281371,"5억 1,000~6억 7,000","3억 3,000","3,000/130~2억/25","3,000/130~2억/25",대구칠곡초등학교,공립,294.0,253.0
3,칠곡-e편한세상,186A㎡,대구시 북구 읍내동 491,대구시 북구 칠곡중앙대로 598,35.948779,128.553433,608.0,0.0,19.0,10.0,250,22,984.0,대림산업(주),HT001,186.13,158.17,85,4,2,76,계단식,242100.0,585990.0,48420.0,295470.0,0.0,0.0,0.0,41000.0,344461,356523,"7억 2,000~8억","4억 5,000",,,대구칠곡초등학교,공립,294.0,253.0
4,칠곡-e편한세상,186B,대구시 북구 읍내동 491,대구시 북구 칠곡중앙대로 598,35.948779,128.553433,608.0,0.0,19.0,10.0,250,22,984.0,대림산업(주),HT001,186.58,158.16,85,4,2,17,계단식,242100.0,585990.0,48420.0,295470.0,0.0,0.0,0.0,42000.0,344460,356522,,,,,대구칠곡초등학교,공립,294.0,253.0
0,칠곡럭키,121㎡,대구시 북구 읍내동 1351-2,대구시 북구 팔거천서로 181,35.940233,128.555746,320.0,0.0,15.0,14.0,199,19,359.0,럭키개발주식회사,HT001,121.63,101.72,84,4,2,264,계단식,48300.0,167580.0,9660.0,109620.0,0.0,0.0,0.0,29500.0,221889,216236,"2억 2,900~2억 6,000","1억 8,000~2억","2,000/80~1억 5,000/35","2,000/80~1억 5,000/35",대구대천초등학교,공립,181.0,168.0
1,칠곡럭키,157,대구시 북구 읍내동 1351-2,대구시 북구 팔거천서로 181,35.940233,128.555746,320.0,0.0,15.0,14.0,199,19,359.0,럭키개발주식회사,HT001,157.46,134.78,86,4,2,56,계단식,77100.0,242460.0,15420.0,149940.0,0.0,0.0,0.0,30000.0,294005,286515,"3억 2,500~3억 6,000",,,,대구대천초등학교,공립,181.0,168.0
0,칠곡보성,92㎡,대구시 북구 읍내동 1366-2,대구시 북구 구암로21길 26,35.934536,128.553594,350.0,0.0,13.0,12.0,204,19,348.0,(주)보성주택,HT001,92.56,74.45,80,3,1,48,계단식,31200.0,123120.0,6240.0,85680.0,0.0,0.0,0.0,29500.0,175859,169449,"2억 3,000",,,,대구대천초등학교,공립,181.0,168.0
1,칠곡보성,105,대구시 북구 읍내동 1366-2,대구시 북구 구암로21길 26,35.934536,128.553594,350.0,0.0,13.0,12.0,204,19,348.0,(주)보성주택,HT001,105.79,85.12,80,3,2,302,계단식,37950.0,140670.0,7590.0,95130.0,0.0,0.0,0.0,30000.0,201063,193733,"1억 9,700~2억 5,000","1억 6,000~2억","2,000/70~1억 2,000/20","2,000/70~1억 2,000/20",대구대천초등학교,공립,181.0,168.0
0,칠곡보성타운3차,81㎡,대구시 북구 읍내동 430,대구시 북구 칠곡중앙대로126길 7-12,35.951231,128.555413,456.0,0.0,20.0,16.0,249,21,472.0,(주)보성,HT001,81.88,59.98,73,3,1,200,복도식,24300.0,97200.0,4860.0,68040.0,0.0,0.0,0.0,29500.0,139597,133645,"1억 5,000~1억 6,900","1억 4,000","1,000/55","1,000/55",대구칠곡초등학교,공립,294.0,253.0
1,칠곡보성타운3차,107㎡,대구시 북구 읍내동 430,대구시 북구 칠곡중앙대로126길 7-12,35.951231,128.555413,456.0,0.0,20.0,16.0,249,21,472.0,(주)보성,HT001,107.56,84.99,79,3,2,192,계단식,39750.0,145350.0,7950.0,97650.0,0.0,0.0,0.0,30000.0,197805,189371,"2억~2억 4,500",,,,대구칠곡초등학교,공립,294.0,253.0
2,칠곡보성타운3차,163,대구시 북구 읍내동 430,대구시 북구 칠곡중앙대로126길 7-12,35.951231,128.555413,456.0,0.0,20.0,16.0,249,21,472.0,(주)보성,HT001,163.77,134.98,82,4,2,64,계단식,70350.0,224910.0,14070.0,140490.0,0.0,0.0,0.0,30000.0,314151,300757,"3억~3억 4,800",,,,대구칠곡초등학교,공립,294.0,253.0
0,칠곡산호한양,49㎡,대구시 북구 읍내동 1351,대구시 북구 대천로7길 40,35.941324,128.555643,768.0,0.0,15.0,14.0,174,16,463.0,(주)한양,HT001,49.47,36.18,73,2,1,300,복도식,13770.0,55080.0,2754.0,38556.0,0.0,0.0,0.0,29500.0,92551,87065,"8,500~1억 2,200","8,000~9,000",500/35~500/40,500/35~500/40,대구칠곡초등학교,공립,294.0,253.0
1,칠곡산호한양,81㎡,대구시 북구 읍내동 1351,대구시 북구 대천로7길 40,35.941324,128.555643,768.0,0.0,15.0,14.0,174,16,463.0,(주)한양,HT001,81.12,59.82,74,3,1,300,복도식,21780.0,87120.0,4356.0,60984.0,0.0,0.0,0.0,30000.0,153023,143953,"1억 3,000~1억 6,900","1억 1,000~1억 2,000",,,대구칠곡초등학교,공립,294.0,253.0
2,칠곡산호한양,103,대구시 북구 읍내동 1351,대구시 북구 대천로7길 40,35.941324,128.555643,768.0,0.0,15.0,14.0,174,16,463.0,(주)한양,HT001,103.05,84.94,82,3,2,168,계단식,32100.0,125460.0,6420.0,86940.0,0.0,0.0,0.0,30000.0,217295,204415,"1억 8,500~2억 3,000","1억 6,000~2억","1,000/50~1억/20","1,000/50~1억/20",대구칠곡초등학교,공립,294.0,253.0
0,칠곡에덴,53㎡,대구시 북구 읍내동 780-5,대구시 북구 칠곡중앙대로105길 8,35.943183,128.549449,80.0,0.0,5.0,5.0,0,0,0.0,,HT001,53.19,46.19,87,2,1,10,계단식,11723.0,46891.0,2345.0,32823.0,0.0,0.0,0.0,30000.0,,,"8,900~9,500",,,,대구교동초등학교,공립,113.0,110.0
